84D0 : LDA 3B         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:7D000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D2 : STA 2E         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D4 : SEC            : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D5 : LDA 41         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D7 : SBC 35         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D9 : STA 35         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DB : LDA 40         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DD : SBC 34         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DF : STA 34         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E1 : LDA 3F         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E3 : SBC 33         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
