84A7 : BMI 84AD       : A=80 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84AD : LDA 31         : A=70 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84AF : CMP 3D         : A=70 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84B1 : BNE 84CE       : A=70 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84CE : BCS 84F4       : A=70 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D0 : LDA 3B         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:70800000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D2 : STA 2E         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D4 : SEC            : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D5 : LDA 41         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D7 : SBC 35         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84D9 : STA 35         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DB : LDA 40         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DD : SBC 34         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84DF : STA 34         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E1 : LDA 3F         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E3 : SBC 33         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E5 : STA 33         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E7 : LDA 3E         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E9 : SBC 32         : A=80 X=8A Y=01 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84EB : STA 32         : A=80 X=8A Y=01 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84ED : LDA 3D         : A=80 X=8A Y=01 SP=?? N=1 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84EF : SBC 31         : A=0F X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84F1 : JMP 8304       : A=0F X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8304 : BMI 8346       : A=0F X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8306 : BNE 832F       : A=0F X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
832F : LDY 30         : A=0F X=8A Y=81 SP=?? N=1 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=0F X=8A Y=80 SP=?? N=1 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=0F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=0F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=0F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70800000:00:00 = +8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=0F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=1 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=1F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=1F X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=1F X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=1F X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=1F X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=1F X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=1F X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=3E X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=3E X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=3E X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=3E X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
